date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:51	3702/3702	---M--	200	added ('OK')	image/png	etag:%22e34e1b95e9ea457b3da0be5817025203%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/nequi/payment-nequi-large.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/nequi/payment-nequi-large.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:51	76586/76586	---M--	200	added ('OK')	image/png	etag:%22a438929b7232a77e3a65400063598558%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/pagaleve/payment-pagaleve-pix-icon.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/pagaleve/payment-pagaleve-pix-icon.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:51	3799/3799	---M--	200	added ('OK')	image/png	etag:%2296d2c7191e69e2b7897ca1d3d2eda02f%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/nequi/payment-nequi-byactX.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/nequi/payment-nequi-byactX.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:52	9995/9995	---M--	200	added ('OK')	image/png	etag:%223f9b18c4064f2528d4ecdbd405a59d60%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/nequi/payment-nequi-undostres.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/nequi/payment-nequi-undostres.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:52	6967/6967	---M--	200	added ('OK')	image/png	etag:%22f35f8961da74334f0a24af1e3f8b0581%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/payment-nequi-main-icon.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/payment-nequi-main-icon.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:53	8370/8370	---M--	200	added ('OK')	image/png	etag:%226701d9dc5dea28fb1246b6dc5178e7d0%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/payment-corresponsales-main-icon.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/payment-corresponsales-main-icon.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:53	4042/4042	---M--	200	added ('OK')	image/png	etag:%22b3f87ddf956d087d6b6aa2955f018443%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/paymentCredit/payment-credits-ico.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/paymentCredit/payment-credits-ico.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:54	2875/2875	---M--	200	added ('OK')	image/png	etag:%221a6d59e00913ad7822141c4bb26f6487%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/paymentCredit/payment-credits-ico-mp.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/paymentCredit/payment-credits-ico-mp.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:54	143/143	---M--	200	added ('OK')	image/png	etag:%228701ca72a4938e8d98fde56059302bce%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/paymentCredit/payment-credits-divisor.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/paymentCredit/payment-credits-divisor.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:54	1582/1582	---M--	200	added ('OK')	image/png	etag:%22577d2de360356f54b9ee1e23b057d94c%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/paymentCredit/payment-credits-icon-1.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/paymentCredit/payment-credits-icon-1.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:55	1738/1738	---M--	200	added ('OK')	image/png	etag:%22777d6cb64be99d3f2126d52f90ca5717%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/paymentCredit/payment-credits-icon-2.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/paymentCredit/payment-credits-icon-2.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:55	1823/1823	---M--	200	added ('OK')	image/png	etag:%22290a6f839460820e9b544ec41dd812bc%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/paymentCredit/payment-credits-icon-3.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/paymentCredit/payment-credits-icon-3.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
